GHGRP ID,Landfill ID,Landfill Name,State,Physical Address,City,County,Zip Code,Latitude,Longitude,Ownership Type,Landfill Owner Organization(s),Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Waste in Place (tons),Waste in Place Year,LFG Collection System In Place?,LFG Collected (mmscfd),LFG Flared (mmscfd),Project ID,Current Project Status,Project Name,Project Start Date,Project Shutdown Date,Project Type Category,LFG Energy Project Type,RNG Delivery Method,Actual MW Generation,Rated MW Capacity,LFG Flow to Project (mmscfd),Current Year Emission Reductions (MMTCO2e/yr) - Direct,Current Year Emission Reductions (MMTCO2e/yr) - Avoided
1007547,778,Fall River Landfill,MA,1080 Airport Road,Fall River,Bristol,02720,41.751,-71.1068,Private,"Republic Services, Inc.",1940,2014,Closed,"5,736,457",2014,Yes,2.541,,848-0,Shutdown,Project #1,7/1/2000,12/31/2004,Electricity,Reciprocating Engine,,0.99,2.1,0.72,,
1007547,778,Fall River Landfill,MA,1080 Airport Road,Fall River,Bristol,02720,41.751,-71.1068,Private,"Republic Services, Inc.",1940,2014,Closed,"5,736,457",2014,Yes,2.541,,848-1,Shutdown,"Project #1, De-Expansion #1",1/1/2006,6/1/2012,Electricity,Reciprocating Engine,,0.24,2.1,0.2,,
1007753,787,Fitchburg-Westminster LF,MA,101 Fitchburg Road,Westminster,Worcester,01473,42.53596,-71.85388,Private,"Waste Management, Inc.",1972,2025,Open,"12,922,896",2019,Yes,4.463,,180847-0,Operational,Project #2,8/1/2007,,Electricity,Reciprocating Engine,,2.68,3.2,1.36,0.1211,0.0140
1007753,787,Fitchburg-Westminster LF,MA,101 Fitchburg Road,Westminster,Worcester,01473,42.53596,-71.85388,Private,"Waste Management, Inc.",1972,2025,Open,"12,922,896",2019,Yes,4.463,,180847-1,Operational,"Project #2, Expansion #1",1/1/2009,,Electricity,Reciprocating Engine,,0.9,1.6,,0.0407,0.0047
1007753,787,Fitchburg-Westminster LF,MA,101 Fitchburg Road,Westminster,Worcester,01473,42.53596,-71.85388,Private,"Waste Management, Inc.",1972,2025,Open,"12,922,896",2019,Yes,4.463,,857-0,Shutdown,Project #1,1/1/1997,12/31/2005,Electricity,Steam Turbine,,2.09,,1.56,,
1007753,787,Fitchburg-Westminster LF,MA,101 Fitchburg Road,Westminster,Worcester,01473,42.53596,-71.85388,Private,"Waste Management, Inc.",1972,2025,Open,"12,922,896",2019,Yes,4.463,,857-1,Shutdown,"Project #1, De-Expansion #1",1/1/2006,12/31/2013,Electricity,Steam Turbine,,0.5,,,,
1005466,20855,Gardner Street Landfill,MA,"Gardner Street, West Roxbury",Boston,Suffolk,02201,42.282,-71.182,Public,"City of Boston, MA",1963,1980,Closed,"1,812,179",1980,Yes,0.116,0.116,201106-0,Low Potential,,,,Unknown,Unknown,,,,,,
,784,GCR LF,MA,Farm Avenue Route 1,Peabody,Essex,01960,42.527,-70.9868,Private,GCR,,1995,Closed,,,No,,,854-0,Low Potential,,,,Unknown,Unknown,,,,,,
1007685,779,Granby SLF,MA,11 New Ludlow Road,Granby,Hampshire,01033,42.2214,-72.5459,Private,"Waste Management, Inc.",1960,2014,Closed,"6,437,059",2013,Yes,0.539,,849-0,Shutdown,Project #1,10/15/2001,12/31/2013,Electricity,Reciprocating Engine,,1.6,1.6,,0.0000,0.0000
1007685,779,Granby SLF,MA,11 New Ludlow Road,Granby,Hampshire,01033,42.2214,-72.5459,Private,"Waste Management, Inc.",1960,2014,Closed,"6,437,059",2013,Yes,0.539,,849-1,Shutdown,"Project #1, Expansion #1",9/1/2004,12/31/2013,Electricity,Reciprocating Engine,,0.4,0.4,,0.0000,0.0000
1007685,779,Granby SLF,MA,11 New Ludlow Road,Granby,Hampshire,01033,42.2214,-72.5459,Private,"Waste Management, Inc.",1960,2014,Closed,"6,437,059",2013,Yes,0.539,,849-2,Shutdown,"Project #1, Expansion #2",1/1/2005,12/31/2013,Electricity,Reciprocating Engine,,0.8,0.8,,0.0000,0.0000
